Symptom_id;Disease_id;Severity;Symptom_desc;Disease_desc
4;677;1;Alcohol abuse;Schizophrenia chronic impaired reality perception
5;93;1;Anxiety (Nervousness);Bipolar disorder manic depressive disorder
5;212;2;Anxiety (Nervousness);Depression excessive sadness
5;372;1;Anxiety (Nervousness);Hypoglycemia low blood sugar
5;378;2;Anxiety (Nervousness);Hypoxia lack of oxygen
5;520;0;Anxiety (Nervousness);Obsessive compulsive disorder OCD, anxiety disorder
5;548;1;Anxiety (Nervousness);Panic disorder
5;574;2;Anxiety (Nervousness);Phobias irrational fear
5;595;2;Anxiety (Nervousness);Post-traumatic stress disorder PTSD
5;732;1;Anxiety (Nervousness);Stress
5;33;1;Anxiety (Nervousness);Amphetamine abuse
5;19;0;Anxiety (Nervousness);Adjustment disorder  (poor adjustment to life stressor)
5;25;0;Anxiety (Nervousness);Alcoholism
5;51;0;Anxiety (Nervousness);Anxiety disorder generalized anxiety disorder GAD
5;59;1;Anxiety (Nervousness);Arrhythmia abnormal heart rhythm
5;101;0;Anxiety (Nervousness);Body dysmorphic disorder body appearance obsession
5;225;1;Anxiety (Nervousness);Drug overuse Prescription Drug Overuse
5;369;0;Anxiety (Nervousness);Hyperventilation rapid breathing
5;445;1;Anxiety (Nervousness);Major depressive disorder severe depression
5;502;0;Anxiety (Nervousness);Narcotic morphine, heroin abuse
5;569;0;Anxiety (Nervousness);Personality disorder unhealthy patterns of thinking and behavior
5;601;0;Anxiety (Nervousness);Prescription drug abuse
5;676;0;Anxiety (Nervousness);Schizoaffective disorder features of schizophrenia and mood disorder
5;677;1;Anxiety (Nervousness);Schizophrenia chronic impaired reality perception
5;878;0;Anxiety (Nervousness);Attention deficit hyperactivity disorder ADHD
5;1034;1;Anxiety (Nervousness);Medication reaction
5;1151;0;Anxiety (Nervousness);Dysthymia depression, dysthymic disorder
5;1309;0;Anxiety (Nervousness);Huntington disease chorea
5;1415;0;Anxiety (Nervousness);Hypoparathyroidism
5;1271;0;Anxiety (Nervousness);Thyroid cyst
5;1469;0;Anxiety (Nervousness);Complex partial seizures psychomotor epilepsy
6;140;2;Arm ache or pain;Cellulitis skin infection
6;191;2;Arm ache or pain;Contusion bruise, ecchymosis
6;204;1;Arm ache or pain;Deep venous thrombosis DVT, venous blood clot
6;302;2;Arm ache or pain;Fracture broken bone
6;321;0;Arm ache or pain;Gout uric acid crystals in the joint causing inflammation
6;350;0;Arm ache or pain;Herniated disc slipped disc, ruptured disc
6;492;2;Arm ache or pain;Myocardial infarction heart attack
6;532;1;Arm ache or pain;Osteoarthritis bone inflammation
6;565;1;Arm ache or pain;Peripheral neuropathy nerve damage
6;662;1;Arm ache or pain;Rheumatoid arthritis type of chronic joint inflammation
6;689;2;Arm ache or pain;Septic arthritis joint infection
6;729;2;Arm ache or pain;Muscle strain pulled muscle
6;934;2;Arm ache or pain;Muscle spasm charley horse
6;1121;1;Arm ache or pain;Bone cancer bone tumor
6;1119;0;Arm ache or pain;Sarcoma soft tissue cancer
6;4;0;Arm ache or pain;Abrasions  (scrapes)
6;13;0;Arm ache or pain;AC joint separation acromioclavicular joint separation closed separation of acromioclavicular joint
6;18;0;Arm ache or pain;Frozen shoulder  (adhesive capsulitis of shoulder)
6;61;0;Arm ache or pain;Arthritis joint inflammation
6;67;1;Arm ache or pain;Atrial fibrillation irregular heart rate
6;120;1;Arm ache or pain;Burns
6;121;0;Arm ache or pain;Bursitis inflammation of joint cushion
6;133;0;Arm ache or pain;Carpal tunnel syndrome wrist nerve compression
6;151;0;Arm ache or pain;Cervical radiculopathy pinched nerve in neck
6;153;0;Arm ache or pain;Cervical spondylosis neck arthritis
6;171;0;Arm ache or pain;Chronic pain
6;203;0;Arm ache or pain;De Quervain's tenosynovitis hand tendon inflammation
6;220;0;Arm ache or pain;Dislocation joint out of place
6;244;0;Arm ache or pain;Enlarged lymph nodes lymphadenopathy
6;269;0;Arm ache or pain;Extremity trauma leg or arm injury
6;291;0;Arm ache or pain;Fibromyalgia chronic pain disorder
6;360;0;Arm ache or pain;Humerus fracture broken upper arm
6;414;0;Arm ache or pain;Tennis elbow lateral epicondylitis
6;426;0;Arm ache or pain;Ligament sprain connection between two bones
6;566;0;Arm ache or pain;Peripheral vascular disease blocked blood vessels
6;639;0;Arm ache or pain;Radial head fracture broken elbow bone
6;667;0;Arm ache or pain;Rotator cuff syndrome shoulder injury
6;684;0;Arm ache or pain;Sebaceous cyst sac under the skin
6;700;1;Arm ache or pain;Shoulder joint dislocation dislocated shoulder
6;703;1;Arm ache or pain;Sickle cell disease disease of red blood cells
6;740;0;Arm ache or pain;Supracondylar fracture elbow fracture
6;751;0;Arm ache or pain;Tendonitis tendon inflammation
6;752;0;Arm ache or pain;Tenosynovitis tendon sheath inflammation
6;789;1;Arm ache or pain;Unstable angina pre heart attack chest pain
6;834;0;Arm ache or pain;Whiplash injury neck injury
6;862;0;Arm ache or pain;Cervical spine stenosis narrowing of spinal canal
6;946;0;Arm ache or pain;Cubital tunnel syndrome nerve compression in the elbow
6;1014;0;Arm ache or pain;Hand fracture broken hand
6;1016;0;Arm ache or pain;Clavicle fracture broken collar bone
6;1054;1;Arm ache or pain;Foreign body in a wound
6;1106;0;Arm ache or pain;Synovitis inflammation of joint lining
6;1138;0;Arm ache or pain;Reflex sympathetic dystrophy complex pain syndrome
6;1275;0;Arm ache or pain;Ewing's sarcoma cancer
6;1317;0;Arm ache or pain;Langerhans cell histiocytosis Histiocytosis X
6;1363;1;Arm ache or pain;Takayasu's arteritis Giant cell arteritis of the young
6;1369;0;Arm ache or pain;Thrombophlebitis superficial
6;1331;0;Arm ache or pain;Paget disease of the bone paget's disease of the bone
6;1333;0;Arm ache or pain;Parathyroid cancer
7;1;1;Back ache or pain;Abdominal aortic aneurysm (enlarged major blood vessel)
7;102;1;Back ache or pain;Bone metastases cancer spread to bone
7;219;1;Back ache or pain;Discitis spinal disk inflammation
7;350;1;Back ache or pain;Herniated disc slipped disc, ruptured disc
7;546;1;Back ache or pain;Pancreatitis pancreas inflammation
7;557;0;Back ache or pain;Pelvic inflammatory disease PID, female reproductive organ infection
7;637;3;Back ache or pain;Pyelonephritis kidney infection
7;678;1;Back ache or pain;Sciatica lower back nerve irritation
7;723;0;Back ache or pain;Spondylolisthesis slipped back bone
7;729;2;Back ache or pain;Muscle strain pulled muscle
7;776;2;Back ache or pain;Transverse myelitis spinal cord inflammation
7;793;2;Back ache or pain;Bladder infection cystitis, UTI, urinary tract infection
7;813;1;Back ache or pain;Vertebral fracture broken back or neck bone
7;42;0;Back ache or pain;Ankylosing spondylitis  (severe spine arthritis)
7;513;2;Back ache or pain;Kidney stone nephrolithiasis
7;943;0;Back ache or pain;Osteoporosis extremely thin bone
7;974;1;Back ache or pain;Lumbar spinal stenosis spinal cord compression
7;1041;2;Back ache or pain;Obesity
7;532;1;Back ache or pain;Osteoarthritis bone inflammation
7;1201;1;Back ache or pain;Lumbar spondylosis spine arthritis
7;56;1;Back ache or pain;Appendicitis
7;61;0;Back ache or pain;Arthritis joint inflammation
7;65;0;Back ache or pain;Asthma
7;73;0;Back ache or pain;Back trauma injury
7;77;0;Back ache or pain;Bacterial vaginosis vaginal infection
7;115;0;Back ache or pain;Bronchitis bronchial tube infection
7;140;0;Back ache or pain;Cellulitis skin infection
7;163;1;Back ache or pain;Cholecystitis inflammation of the gallbladder
7;165;0;Back ache or pain;Cholelithiasis gallstones
7;171;0;Back ache or pain;Chronic pain
7;179;1;Back ache or pain;Colonic diverticulitis inflammation of pouches in the large intestine
7;191;0;Back ache or pain;Contusion bruise, ecchymosis
7;195;0;Back ache or pain;Costochondritis chest wall inflammation
7;197;1;Back ache or pain;Crohn's disease regional enteritis, Crohn's colitis, intestinal inflammation
7;291;0;Back ache or pain;Fibromyalgia chronic pain disorder
7;302;0;Back ache or pain;Fracture broken bone
7;307;0;Back ache or pain;Gastritis stomach inflammation
7;426;0;Back ache or pain;Ligament sprain connection between two bones
7;440;0;Back ache or pain;Lung cancer tumor
7;483;0;Back ache or pain;Multiple sclerosis MS
7;534;1;Back ache or pain;Osteomyelitis bone infection
7;539;0;Back ache or pain;Ovarian cyst female organ fluid collection
7;547;1;Back ache or pain;Pancreas inflammation pancreatitis, chronic
7;565;0;Back ache or pain;Peripheral neuropathy nerve damage
7;584;0;Back ache or pain;Pleuritis inflammation of the lung's lining, pleurisy
7;585;1;Back ache or pain;Pneumonia lung infection
7;599;0;Back ache or pain;Pregnancy
7;600;0;Back ache or pain;Premenstrual syndrome PMS
7;617;1;Back ache or pain;Pulmonary embolism blood clot in the lungs
7;662;0;Back ache or pain;Rheumatoid arthritis type of chronic joint inflammation
7;665;0;Back ache or pain;Rib fracture broken bone
7;667;0;Back ache or pain;Rotator cuff syndrome shoulder injury
7;680;0;Back ache or pain;Scoliosis crooked spine
7;698;0;Back ache or pain;Shingles herpes zoster
7;703;1;Back ache or pain;Sickle cell disease disease of red blood cells
7;720;1;Back ache or pain;Spinal abscess collection of spinal pus
7;757;0;Back ache or pain;Thoracic outlet syndrome nerve, blood vessel compression
7;789;1;Back ache or pain;Unstable angina pre heart attack chest pain
7;805;0;Back ache or pain;Vaginitis vaginal infection inflammation
7;849;0;Back ache or pain;Pilonidal cyst fluid filled sac on tailbone
7;852;0;Back ache or pain;Lymphoma lymph node cancer
7;934;0;Back ache or pain;Muscle spasm charley horse
7;1138;0;Back ache or pain;Reflex sympathetic dystrophy complex pain syndrome
7;1331;0;Back ache or pain;Paget disease of the bone paget's disease of the bone
7;1351;0;Back ache or pain;Rectocele
8;55;1;Bleeding tendency;Aplastic anemia bone marrow failure
8;208;1;Bleeding tendency;Dengue fever tropical mosquito borne illness
8;222;1;Bleeding tendency;Disseminated intravascular coagulation DIC, abnormality of blood clotting
8;340;2;Bleeding tendency;Hemophilia inherited bleeding disorder
8;424;1;Bleeding tendency;Leukemia blood cell cancer
8;436;2;Bleeding tendency;Low platelets thrombocytopenia
8;455;1;Bleeding tendency;Measles viral disease with typical rash
8;484;2;Bleeding tendency;Mumps viral infection involving salivary glands
8;491;2;Bleeding tendency;Myelodysplastic syndrome bone marrow failure
8;652;1;Bleeding tendency;Renal failure, acute sudden kidney failure
8;828;0;Bleeding tendency;Waldenstr̦m macroglobulinemia blood cell disease
8;830;1;Bleeding tendency;Warfarin Coumadin use
8;1287;0;Bleeding tendency;Foot sprain
8;1359;0;Bleeding tendency;Shoulder sprain
8;1383;0;Bleeding tendency;Wrist sprain
8;1393;0;Bleeding tendency;Broken jaw mandible fracture
8;1439;1;Bleeding tendency;Von Willebrand's disease
8;1513;0;Bleeding tendency;Scurvy vitamin C deficiency
9;253;2;Blood in vomit;Nose bleed epistaxis
9;263;1;Blood in vomit;Esophageal varices dilation of esophageal veins
9;307;1;Blood in vomit;Gastritis stomach inflammation
9;341;0;Blood in vomit;Hemoptysis coughing blood
9;345;1;Blood in vomit;Henoch Sch̦nlein purpura blood vessel inflammation
9;394;2;Blood in vomit;Intestinal volvulus twisting of intestine
9;399;2;Blood in vomit;Intussusception telescoping intestine
9;403;0;Blood in vomit;Kaposi Sarcoma type of cancer
9;450;1;Blood in vomit;Mallory Weiss syndrome esophageal tear
9;712;0;Blood in vomit;Small bowel lymphoma intestinal lymph node cancer
9;379;3;Blood in vomit;Nonsteroidal anti-inflammatory drug overdose Motrin, Advil
9;768;2;Blood in vomit;Tonsillitis tonsil infection
9;172;1;Blood in vomit;Cirrhosis liver failure and scarring
9;975;0;Blood in vomit;Stomach cancer gastric cancer
9;25;0;Blood in vomit;Alcoholism
9;257;0;Blood in vomit;Esophageal cancer tumor
9;265;0;Blood in vomit;Esophagitis esophageal inflammation
9;308;0;Blood in vomit;Gastroenteritis intestinal infection
9;309;0;Blood in vomit;Gastroesophageal reflux GERD, heartburn
9;310;1;Blood in vomit;Gastrointestinal bleeding stomach, intestine bleeding
9;354;0;Blood in vomit;Hiatal hernia stomach pushes through diaphragm
9;446;0;Blood in vomit;Malabsorption syndrome abnormal intestinal digestion
9;758;1;Blood in vomit;Thrombocytopenia low platelet count
9;829;1;Blood in vomit;Warfarin Coumadin, Jantoven overdose
10;32;0;Bloody diarrhea;Amebiasis ameba infection
10;125;3;Bloody diarrhea;Campylobacter infection intestinal bacterial infection
10;178;1;Bloody diarrhea;Colitis large intestine inflammation
10;179;2;Bloody diarrhea;Colonic diverticulitis inflammation of pouches in the large intestine
10;197;2;Bloody diarrhea;Crohn's disease regional enteritis, Crohn's colitis, intestinal inflammation
10;231;3;Bloody diarrhea;E. coli infection Escherichia coli, bacterial infection
10;393;2;Bloody diarrhea;Intestinal ischemia decreased intestinal blood flow
10;394;2;Bloody diarrhea;Intestinal volvulus twisting of intestine
10;399;2;Bloody diarrhea;Intussusception telescoping intestine
10;450;0;Bloody diarrhea;Mallory Weiss syndrome esophageal tear
10;670;3;Bloody diarrhea;Salmonella infection common bacterial intestinal infection
10;675;0;Bloody diarrhea;Schistosomiasis parasite infection
10;697;3;Bloody diarrhea;Shigellosis bacterial intestinal infection
10;788;1;Bloody diarrhea;Ulcerative colitis large intestine inflammation
10;830;1;Bloody diarrhea;Warfarin Coumadin use
10;345;1;Bloody diarrhea;Henoch Sch̦nlein purpura blood vessel inflammation
10;955;2;Bloody diarrhea;Clostridium difficile C. Diff
10;987;2;Bloody diarrhea;Food poisoning
10;310;1;Bloody diarrhea;Gastrointestinal bleeding stomach, intestine bleeding
10;1129;2;Bloody diarrhea;Hemolytic uremic syndrome HUS, red blood cell destruction, kidney disease
11;108;1;Pain or soreness of breast;Breast abscess collection of pus in the breast
11;109;2;Pain or soreness of breast;Breast cancer tumor
11;111;1;Pain or soreness of breast;Breast fibroadenoma benign breast lumps
11;140;1;Pain or soreness of breast;Cellulitis skin infection
11;191;2;Pain or soreness of breast;Contusion bruise, ecchymosis
11;289;1;Pain or soreness of breast;Fibrocystic breasts breast lumpiness
11;453;1;Pain or soreness of breast;Mastitis breast infection inflammation
11;4;0;Pain or soreness of breast;Abrasions  (scrapes)
11;133;0;Pain or soreness of breast;Carpal tunnel syndrome wrist nerve compression
11;195;0;Pain or soreness of breast;Costochondritis chest wall inflammation
11;426;0;Pain or soreness of breast;Ligament sprain connection between two bones
11;443;0;Pain or soreness of breast;Lymphangitis lymph tissue inflammation
11;466;0;Pain or soreness of breast;Metastatic neoplasm cancer spread
11;539;0;Pain or soreness of breast;Ovarian cyst female organ fluid collection
11;585;1;Pain or soreness of breast;Pneumonia lung infection
11;698;0;Pain or soreness of breast;Shingles herpes zoster
11;703;1;Pain or soreness of breast;Sickle cell disease disease of red blood cells
11;793;0;Pain or soreness of breast;Bladder infection cystitis, UTI, urinary tract infection
11;852;0;Pain or soreness of breast;Lymphoma lymph node cancer
11;1057;0;Pain or soreness of breast;Hidradenitis suppurativa chronic collections of pus
11;1061;1;Pain or soreness of breast;Radiation exposure radiation sickness
12;9;1;Calf pain;Achilles tendon rupture (heel tendon tear)
12;78;1;Calf pain;Baker's cyst fluid sac behind knee
12;183;1;Calf pain;Compartment syndrome increased pressure inside muscles
12;140;2;Calf pain;Cellulitis skin infection
12;191;2;Calf pain;Contusion bruise, ecchymosis
12;204;2;Calf pain;Deep venous thrombosis DVT, venous blood clot
12;220;0;Calf pain;Dislocation joint out of place
12;302;1;Calf pain;Fracture broken bone
12;321;0;Calf pain;Gout uric acid crystals in the joint causing inflammation
12;566;0;Calf pain;Peripheral vascular disease blocked blood vessels
12;729;2;Calf pain;Muscle strain pulled muscle
12;934;2;Calf pain;Muscle spasm charley horse
12;510;1;Calf pain;Necrotizing fasciitis life-threatening infection
12;8;2;Calf pain;Achilles tendonitis  (heel tendon inflammation)
12;1121;1;Calf pain;Bone cancer bone tumor
12;1119;0;Calf pain;Sarcoma soft tissue cancer
12;1147;0;Calf pain;Diabetic neuropathy nerve damage
12;1369;1;Calf pain;Thrombophlebitis superficial
13;195;2;Chest pressure;Costochondritis chest wall inflammation
13;221;2;Chest pressure;Dissecting aortic aneurysm tearing and dilation of the aorta
13;224;2;Chest pressure;Dressler syndrome heart sac inflammation following heart attack or heart surgery
13;265;1;Chest pressure;Esophagitis esophageal inflammation
13;309;2;Chest pressure;Gastroesophageal reflux GERD, heartburn
13;354;1;Chest pressure;Hiatal hernia stomach pushes through diaphragm
13;471;0;Chest pressure;Mitral valve prolapse abnormal heart valve
13;492;2;Chest pressure;Myocardial infarction heart attack
13;561;2;Chest pressure;Pericarditis heart sac inflammation
13;585;3;Chest pressure;Pneumonia lung infection
13;586;3;Chest pressure;Pneumothorax collapse of lung
13;608;0;Chest pressure;Prinzmetal angina heart artery spasm
13;617;2;Chest pressure;Pulmonary embolism blood clot in the lungs
13;698;1;Chest pressure;Shingles herpes zoster
13;789;2;Chest pressure;Unstable angina pre heart attack chest pain
13;1008;2;Chest pressure;Coronary artery disease CAD, heart disease
13;4;0;Chest pressure;Abrasions  (scrapes)
13;25;0;Chest pressure;Alcoholism
13;26;1;Chest pressure;Allergic reaction
13;51;0;Chest pressure;Anxiety disorder generalized anxiety disorder GAD
13;59;1;Chest pressure;Arrhythmia abnormal heart rhythm
13;65;0;Chest pressure;Asthma
13;115;0;Chest pressure;Bronchitis bronchial tube infection
13;165;0;Chest pressure;Cholelithiasis gallstones
13;185;1;Chest pressure;Congestive heart failure CHF
13;191;0;Chest pressure;Contusion bruise, ecchymosis
13;266;0;Chest pressure;Essential hypertension high blood pressure
13;307;0;Chest pressure;Gastritis stomach inflammation
13;426;0;Chest pressure;Ligament sprain connection between two bones
13;618;0;Chest pressure;Pulmonary fibrosis lung scarring
13;729;0;Chest pressure;Muscle strain pulled muscle
13;732;0;Chest pressure;Stress
13;790;0;Chest pressure;Upper respiratory tract infection URI, common cold
13;811;0;Chest pressure;Vasovagal syncope fainting
13;834;0;Chest pressure;Whiplash injury neck injury
13;997;0;Chest pressure;Sarcoidosis inflammatory disease
13;1151;0;Chest pressure;Dysthymia depression, dysthymic disorder
13;1433;0;Chest pressure;Supraventricular tachycardia SVT
14;140;2;Chills;Cellulitis skin infection
14;252;2;Chills;Epiglottitis severe throat inflammation
14;387;2;Chills;Influenza seasonal flu
14;443;0;Chills;Lymphangitis lymph tissue inflammation
14;447;1;Chills;Malaria mosquito transmitted illness
14;462;1;Chills;Meningitis spinal fluid infection
14;474;2;Chills;Mononucleosis common viral illness
14;536;2;Chills;Ear infection, middle ear otitis media
14;557;1;Chills;Pelvic inflammatory disease PID, female reproductive organ infection
14;567;1;Chills;Peritonitis abdominal cavity inflammation
14;572;2;Chills;Pharyngitis throat infection
14;585;3;Chills;Pneumonia lung infection
14;674;2;Chills;Scarlet fever post strep inflammation
14;704;2;Chills;Sinusitis sinus infection
14;790;2;Chills;Upper respiratory tract infection URI, common cold
14;793;2;Chills;Bladder infection cystitis, UTI, urinary tract infection
14;800;2;Chills;Vaccination
14;56;1;Chills;Appendicitis
14;69;1;Chills;Atypical pneumonia lung infection
14;308;0;Chills;Gastroenteritis intestinal infection
14;413;0;Chills;Laryngitis voice box inflammation
14;637;1;Chills;Pyelonephritis kidney infection
14;768;0;Chills;Tonsillitis tonsil infection
15;23;2;Change in behavior;Alcohol withdrawal syndrome  (mild)
15;39;0;Change in behavior;Anemia  (low red blood cell count)
15;128;3;Change in behavior;Carbon monoxide poisoning odorless, poisonous gas
15;146;2;Change in behavior;Cerebral vascular accident stroke
15;205;3;Change in behavior;Dehydration
15;215;3;Change in behavior;Diabetic ketoacidosis DKA, a complication of poorly controlled diabetes
15;225;2;Change in behavior;Drug overuse Prescription Drug Overuse
15;246;1;Change in behavior;Hypothermia extreme cold exposure
15;251;3;Change in behavior;Epidural hematoma bleeding around brain or spine
15;372;3;Change in behavior;Hypoglycemia low blood sugar
15;375;2;Change in behavior;Hyponatremia low blood sodium
15;377;1;Change in behavior;Hypothyroidism low thyroid hormone
15;378;3;Change in behavior;Hypoxia lack of oxygen
15;395;2;Change in behavior;Intracranial hemorrhage bleeding in brain
15;448;1;Change in behavior;Malignant hyperthermia rare temperature abnormality
15;462;3;Change in behavior;Meningitis spinal fluid infection
